"AwayTm","HomeTm","P.Score1","P.Score2","Actual.Score1","Actual.Score2","A1.Diff","A2.Diff","P.Winner","A.Winner","C.Winner"
"IND","JAX",18.4534511566162,18.6370735168457,11,26,7.45,7.36,"JAX","JAX",1
"CIN","CLE",16.770959854126,18.8395519256592,16,21,0.77,2.16,"CLE","CLE",1
"CAR","TAM",19.175163269043,20.315824508667,17,41,2.18,20.68,"TAM","TAM",1
"PIT","BAL",30.0137252807617,16.2879943847656,16,13,14.01,3.29,"PIT","PIT",1
"NOR","ATL",19.2310771942139,27.8594913482666,30,20,10.77,7.86,"ATL","NOR",0
"NYJ","BUF",22.4704113006592,18.8762893676758,10,27,12.47,8.12,"NYJ","BUF",0
"CHI","MIN",24.0848484039307,25.7863731384277,17,31,7.08,5.21,"MIN","MIN",1
"TEN","HOU",20.8545379638672,23.2759399414062,28,25,7.15,1.72,"HOU","TEN",0
"WAS","NYG",26.1739616394043,20.5100708007812,22,7,4.17,13.51,"WAS","WAS",1
"GNB","DET",24.9754428863525,23.6804389953613,30,37,5.02,13.32,"GNB","DET",0
"DAL","PHI",19.729061126709,27.0962715148926,51,26,31.27,1.1,"PHI","DAL",0
"NWE","MIA",26.253454208374,22.0166454315186,24,33,2.25,10.98,"NWE","MIA",0
"SFO","LAR",18.4499797821045,24.1035900115967,27,24,8.55,0.1,"LAR","SFO",0
"LAC","LVR",13.1723194122314,19.1955623626709,32,35,18.83,15.8,"LVR","LVR",1
"SEA","ARI",18.9030380249023,19.444465637207,38,30,19.1,10.56,"ARI","SEA",0
"KAN","DEN",21.5937004089355,18.3250732421875,28,24,6.41,5.67,"KAN","KAN",1
